status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,ucid
1,313,ZIL,Zilliqa,secp256k1,sha256,,,,,,,2469
0,314,MOAC,MOAC,,,,,,,,,
0,315,SWTC,SWTC,,,,,,,,,
0,316,VNSC,vnscoin,,,,,,,,,
0,317,PLUG,Plug,,,,,,,,,
0,318,MAN,Matrix AI Network,,,,,,,,,
0,319,ECC,ECCoin,,,,,,,,,
1,320,RPD,Rapids,secp256k1,sha256,,,0x3d,0x06,0x2e,,3432
0,321,RAP,Rapture,,,,,,,,,
0,322,GARD,Hashgard,,,,,,,,,
0,323,ZER,Zero,,,,,,,,,
0,324,EBST,eBoost,,,,,,,,,
0,325,SHARD,Shard,,,,,,,,,
0,326,MRX,Metrix Coin,,,,,,,,,
0,327,CMM,Commercium,,,,,,,,,
0,328,BLOCK,Blocknet,,,,,,,,,
0,329,AUDAX,AUDAX,,,,,,,,,
0,330,LUNA,Terra,,,,,,,,,
0,331,ZPM,zPrime,,,,,,,,,
0,332,KUVA,Kuva Utility Note,,,,,,,,,
0,333,MEM,MemCoin,,,,,,,,,
0,334,CS,Credits,,,,,,,,,
0,335,SWIFT,SwiftCash,,,,,,,,,
1,336,FIX,FIX,secp256k1,sha256,0x0221312B,0x022D2533,0x23,0x5F,0x3C,,
0,337,CPC,CPChain,,,,,,,,,
0,338,VGO,VirtualGoodsToken,,,,,,,,,
0,339,DVT,DeVault,,,,,,,,,
0,340,N8V,N8VCoin,,,,,,,,,
0,341,MTNS,OmotenashiCoin,,,,,,,,,
0,342,BLAST,BLAST,,,,,,,,,
0,343,DCT,DECENT,,,,,,,,,
0,344,AUX,Auxilium,,,,,,,,,
0,345,USDP,USDP,,,,,,,,,
0,346,HTDF,HTDF,,,,,,,,,
0,347,YEC,Ycash,,,,,,,,,
0,348,QLC,QLC Chain,,,,,,,,,
0,349,TEA,Icetea Blockchain,,,,,,,,,
0,350,ARW,ArrowChain,,,,,,,,,
0,351,MDM,Medium,,,,,,,,,
0,352,CYB,Cybex,,,,,,,,,
0,353,LTO,LTO Network,,,,,,,,,
0,354,DOT,Polkadot,ed25519,,,,,,,,
0,355,AEON,Aeon,,,,,,,,,
0,356,RES,Resistance,,,,,,,,,
1,357,AYA,Aryacoin,secp256k1,sha256,,,0x17,0x6f,0x97,,3973
0,358,DAPS,Dapscoin,,,,,,,,,
0,359,CSC,CasinoCoin,,,,,,,,,
0,360,VSYS,V Systems,,,,,,,,,
0,361,NOLLAR,Nollar,,,,,,,,,
0,362,XNOS,NOS,,,,,,,,,
1,363,CPU,CPUchain,secp256k1,sha256,,,0x1c,0x1E,,,4178
0,364,LAMB,Lambda Storage Chain,,,,,,,,,
0,365,VCT,ValueCyber,,,,,,,,,
0,366,CZR,Canonchain,,,,,,,,,
0,367,ABBC,ABBC,,,,,,,,,
0,368,HET,HET,,,,,,,,,
0,369,XAS,Asch,,,,,,,,,
0,370,VDL,Vidulum,,,,,,,,,
0,371,MED,MediBloc,,,,,,,,,
0,372,ZVC,ZVChain,,,,,,,,,
0,373,VESTX,Vestx,,,,,,,,,
0,374,DBT,DarkBit,,,,,,,,,
0,375,SEOS,SuperEOS,,,,,,,,,
0,376,MXW,Maxonrow,,,,,,,,,
0,377,ZNZ,ZENZO,,,,,,,,,
0,378,XCX,XChain,,,,,,,,,
0,379,SOX,SonicX,,,,,,,,,
0,380,NYZO,Nyzo,,,,,,,,,
0,381,ULC,ULCoin,,,,,,,,,
0,382,RYO,Ryo Currency,,,,,,,,,
0,383,KAL,Kaleidochain,,,,,,,,,
0,384,XSN,Stakenet,,,,,,,,,
0,385,DOGEC,DogeCash,,,,,,,,,
0,386,BMV,Bitcoin Matteo's Vision,,,,,,,,,
0,387,QBC,Quebecoin,,,,,,,,,
0,388,IMG,ImageCoin,,,,,,,,,
0,389,QOS,QOS,,,,,,,,,
0,390,PKT,PKT,,,,,,,,,
0,391,LHD,LitecoinHD,,,,,,,,,
0,392,CENNZ,CENNZnet,,,,,,,,,
0,393,HSN,Hyper Speed Network,,,,,,,,,
1,394,CRO,Cronos (Crypto Chain),secp256k1,keccak256,,,,,,TRUE,3635
0,395,UMBRU,Umbru,,,,,,,,,
0,396,EVER,Everscale,,,,,,,,,
1,397,NEAR,NEAR Protocol,secp256k1,keccak256,,,,,,TRUE,6535
0,398,XPC,XPChain,,,,,,,,,
0,399,ZOC,01coin,,,,,,,,,
1,400,NIX,NIX,secp256k1,sha256,,,0x26,0x35,,,2991
0,401,UC,Utopiacoin,,,,,,,,,
0,402,GALI,Galilel,,,,,,,,,
0,403,OLT,Oneledger,,,,,,,,,
0,404,XBI,XBI,,,,,,,,,
0,405,DONU,DONU,,,,,,,,,
0,406,EARTHS,Earths,,,,,,,,,
0,407,HDD,HDDCash,,,,,,,,,
1,408,SUGAR,Sugarchain,secp256k1,sha256,,,0x3f,0x7d,,,7935
0,409,AILE,AileCoin,,,,,,,,,
0,410,TENT,TENT,,,,,,,,,
0,411,TAN,Tangerine Network,,,,,,,,,
0,412,AIN,AIN,,,,,,,,,
0,413,MSR,Masari,,,,,,,,,
0,414,SUMO,Sumokoin,,,,,,,,,
0,415,ETN,Electroneum,,,,,,,,,
0,416,BYTZ,BYTZ,,,,,,,,,
0,417,WOW,Wownero,,,,,,,,,
0,418,XTNC,XtendCash,,,,,,,,,
0,419,LTHN,Lethean,,,,,,,,,
0,420,NODE,NodeHost,,,,,,,,,
1,421,AGM,Argoneum,secp256k1,sha256,,,0x32,0x61,0xbf,,4482
0,422,CCX,Conceal Network,,,,,,,,,
0,423,TNET,Title Network,,,,,,,,,
0,424,TELOS,TelosCoin,,,,,,,,,
0,425,AION,Aion,,,,,,,,,
0,426,BC,Bitcoin Confidential,,,,,,,,,
0,427,KTV,KmushiCoin,,,,,,,,,
0,428,ZCR,ZCore,,,,,,,,,
0,429,ERG,Ergo,,,,,,,,,
0,430,PESO,Criptopeso,,,,,,,,,
0,431,BTC2,Bitcoin 2,,,,,,,,,
0,432,XRPHD,XRPHD,,,,,,,,,
0,433,WE,WE Coin,,,,,,,,,
0,434,KSM,Kusama,,,,,,,,,
0,435,PCN,Peepcoin,,,,,,,,,
0,436,NCH,NetCloth,,,,,,,,,
0,437,ICU,CHIPO,,,,,,,,,
